"Familia.APGIV","Familia","NombreActual","Authors","NombreMemoria","CODIGO","CodigoPBDY_18","FormaPBDY_2018","Forma_2015","NumRec_2018","MinYear_2018","MaxYear_2018","UserNotes2018","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"","Selaginellaceae","Selaginella sp.","","Selaginella sp.","SELA1_A","","","EH",7,2017,2017,"Not a seed plant; reproductive parts scored as fruits &seeds & fragments.","Selaginella",2688177,"SELA1_A-Selaginella sp."
"Acanthaceae","Acanthaceae","Mendoncia hollenbergiae","Wassh.","Mendoncia sp. C","MEND_C","","","CW",135,2000,2013,"Early collections possibly mixed with another species.","Mendoncia hollenbergiae",8924185,"MEND_C-Mendoncia sp. C"
"Acanthaceae","Acanthaceae","Mendoncia pedunculata","Leonard","Mendoncia 'rug'","MENDRU","","","CW",592,2000,2017,"More common of two species in Mendoncia 'rug' s.l.. Code retained.  Early collections possibly mixed.","Mendoncia pedunculata",3772033,"MENDRU-Mendoncia 'rug'"
"Acanthaceae","Acanthaceae","Mendoncia 'rug'","","Mendoncia sp. G","MEND_G","","","CW",47,2001,2016,"Less common of two species in Mendoncia 'rug' s.l.  Temp-name retained. New code created. Early collections possibly mixed.","Mendoncia",7263432,"MEND_G-Mendoncia sp. G"
"Acanthaceae","Acanthaceae","Mendoncia sericea","Leonard ex Wassh.","Mendonicia glomerata","MENDGL","","","CW",915,2000,2018,"","Mendoncia sericea",8929320,"MENDGL-Mendonicia glomerata"
"Acanthaceae","Acanthaceae","Mendoncia sp. D","","Mendoncia sp. D","MEND_D","","","CW",3,2000,2006,"","Mendoncia",7263432,"MEND_D-Mendoncia sp. D"
"Acanthaceae","Acanthaceae","Mendoncia sp. H","","Mendoncia sp. H","MEND_H","","","CW",2,2001,2008,"","Mendoncia",7263432,"MEND_H-Mendoncia sp. H"
"Acanthaceae","Acanthaceae","Mendoncia sp. M","","Mendoncia sp. M","MEND_M","","","CW",16,2001,2010,"","Mendoncia",7263432,"MEND_M-Mendoncia sp. M"
"Acanthaceae","Acanthaceae","Mendoncia sp. N","","Mendonica sp. N","MEND_N","","","CW",11,2002,2008,"","Mendoncia",7263432,"MEND_N-Mendonica sp. N"
"Acanthaceae","Acanthaceae","Mendoncia sp. O","","Mendoncia sp. O","MEND_O","","","CW",6,2002,2005,"","Mendoncia",7263432,"MEND_O-Mendoncia sp. O"
"Acanthaceae","Acanthaceae","Mendoncia sp. S (mezclada?)","","Mendoncia sp. S","MEND_S","","","CW",354,2002,2011,"Probably mixed (mezclada) collections (MEND_C + MENDGL). Stopped use after 2011.","Mendoncia",7263432,"MEND_S-Mendoncia sp. S"
